1,Birdoswald,Cumbria,Waterhead,NY6154966262,49,343,13992,NY 66 NW 14,N/A,,,,Fort,AD 117-520,,0, 
2,Carvoran,Northumberland,Greenhead,NY6655065710,45,6051,13857,NY 66 NE 12,N/A,,,,Fort,AD 80-410,,0, 
3,Great Chesters,Northumberland,Greenhead,NY7037366793,43,6468,15336,NY 76 NW 11,N/A,,,,Fort,AD128-410,,0, 
4,Vindolanda,Northumberland,Henshaw,NY7705266352,38,6468,15179,NY 76 NE 16,N/A,,,,Fort,AD300-410,,0, 
5,Housesteads,Northumberland,Bardon Mill,NY7897568799,36,6564,15175,NY 76 NE 14,N/A,,,,Fort,AD122-410,,0, 
6,Carrawburgh,Northumberland,Newbrough,NY8571071170,31,7879,16704,NY 87 SE 10,N/A,,,,Fort,AD130-410,,0, 
7,Chesters,Northumberland,Humshaugh,NY9115070150,27,9276,19110,NY 97 SW 5,N/A,,,,Fort,AD124-410,,0, 
8,Corbridge,Northumberland,Corbridge,NY9822264842,22,9002,18511,NY 96 SE 20,N/A,,,,Fort,AD90-410,,0, 
9,Wallsend,North Tyneside,Wallsend,NZ3002066020,0,198,26535,NZ 36 NW 8,N/A,,,,Fort,AD125-410,,0, 
10,Milecastle 49,Cumbria,Waterhead,NY6202866407,49,329,13987,NY 66 NW 12,N/A,,,,Milecastle,AD160-410,,0, 
11,Milecastle 48,Cumbria,Upper Denton,NY6340666195,48,325,13969,NY 66 NW 8,N/A,,,,Milecastle,AD130-410,,0, 
12,Milecastle 44,Northumberland,Greenhead,NY6888066940,44,6042,13828,NY 66 NE 3,N/A,,,,Milecastle,AD130-410,,0, 
13,Milecastle 42,Northumberland,Haltwhistle,NY7157466692,42,6464,15324,NY 76 NW 7,N/A,,,,Milecastle,AD130-410,,0, 
14,Milecastle 39,Northumberland,Henshaw,NY7606067730,39,6561,15166,NY 76 NE 11,N/A,,,,Milecastle,AD130-400,,0, 
15,Milecastle 38,Northumberland,Bardon Mill,NY7727068130,38,6558,15155,NY 76 NE 8,N/A,,,,Milecastle,AD122-410,,0, 
16,Milecastle 37,Northumberland,Bardon Mill,NY7850068690,37,6555,15146,NY 76 NE 5,N/A,,,,Milecastle,AD122-410,,0, 
17,Milecastle 35,Northumberland,Simonburn,NY8049070180,35,7827,16829,NY 87 SW 10,N/A,,,,Milecastle,AD122-410,,0, 
18,Milecastle 33,Northumberland,Newbrough,NY8308070730,33,7821,16809,NY 87 SW 4,N/A,,,,Milecastle,AD122-410,,0, 
19,Milecastle 30,Northumberland,Newbrough,NY8753071580,30,7875,16692,NY 87 SE 6,N/A,,,,Milecastle,AD122-410,,0, 
20,Milecastle 10,Newcastle,Throckley,NY1647066760,10,6042,22673,NZ 16 NE 8,N/A,,,,Milecastle,AD122-410,,0, 
21,Turret 52a,Cumbria,Waterhead,NY5744064710,52,4565,1010412,NY 56 SE 97,N/A,,,,Turret,AD122-410,,0, 
22,Turret 51b,Cumbria,Waterhead,NY5838065110,51,258,1010443,NY 56 NE 8,N/A,,,,Turret,AD122-235,,0, 
23,Turret 51a,Cumbria,Waterhead,NY5882065300,51,259,12627,NY 56 NE 8,N/A,,,,Turret,AD122-200,,0, 
24,Turret 49b,Cumbria,Waterhead,NY6113066200,49,336,14002,NY 66 NW 17,N/A,,,,Turret,AD122-410,,0, 
25,Turret 48b,Cumbria,Upper Denton,NY6252066500,48,327,13977,NY 66 NW 10,N/A,,,,Turret,AD122-410,,0, 
26,Turret 48a,Cumbria,Upper Denton,NY6296266297,48,326,13972,NY 66 NW 9,N/A,,,,Turret,AD122-410,,0, 
27,Turret 45a,Northumberland,Greenhead,NY6740066340,45,6046,13842,NY 66 NE 7,1155916,,,,Turret,AD117-200,,0, 
